Running ID,Sampling_ID,d87Sr86Sr,d13C,Grave_Type,Biological_Sex
1185,ALA001,70.812,-11.7,Plastered Tomb,M
1186,ALA002,708.346,-12.9,Plastered Tomb,M
1187,ALA003,708.278,-12.4,Plastered Tomb,F
1202,ALA021,708.201,-12.7,Primary pit grave with complete,M
1203,ALA022,708.176,-12.2,"Primary, single pit grave",F
1205,ALA024,708.258,-12.7,"Primary, single pit grave",F
1206,ALA025,708.451,-12,"Primary, single pit grave",F
1208,ALA027,708.664,-11.9,"Primary, single pit grave",M
1209,ALA028,708.099,-12.7,"Disturbed Primary, single pit grave",F
1210,ALA029,70.823,-12.1,"Primary, single pit grave;",F
1211,ALA030,708.345,-11.6,Accidental death; no burial,F
1212,ALA032,708.207,-11.8,"Primary, single pit grave",F
1217,ALA037,707.444,-12.3,Multiple individuals; Secondary burial or possible slope wash disturbance,F
1218,ALA038,708.409,-12.5,Plastered Tomb,F
1219,ALA045,708.121,-12.3,"Primary, single pit grave",F
1221,ALA048,707.851,-12.6,Secondary burial of three mandibles,
1224,ALA055,708.242,-12.4,"Primary, single pit grave",
1225,ALA057,708.769,-12.4,"Primary, single pit grave",F
1227,ALA060,708.201,-11.8,Secondary pit burial of two mandibles,M
1228,ALA061,70.809,-13.2,"Secondary, single pit burial",F
1230,ALA067,708.379,-12.6,"Primary, single pit grave",M
1231,ALA069,708.078,-13.4,"Primary, single pit grave",M
1236,ALA081,708.304,-12.5,"Primary, pit grave with two",M
1237,ALA084,708.228,-11.8,"Primary, single pit grave",F
1238,ALA085,708.268,-11.6,"Primary, single pit grave",
1239,ALA086,708.206,-12.2,"Primary, single pit grave",
1240,ALA087,708.112,-12.8,"Primary, single pit grave",
1241,ALA089,708.076,-11.5,"Primary, single pit grave with",
1243,ALA092,708.281,-12.5,"Primary, pit grave with two",
1247,ALA098,706.801,-12.5,Secondary burial of three mandibles,
1249,ALA099,707.977,-11.3,Secondary burial of three mandibles,
1250,ALA101,708.204,-12.7,"Primary, single pit grave",F
1252,ALA104,708.223,-12,"Primary, pit grave with two",
1253,ALA105,708.214,-12.8,"Primary, pit grave with two",F
1254,ALA110,70.677,-13.1,"Primary, single pit grave",M
1256,ALA111,708.436,-12.9,"Primary, single pit grave with co-",M
1260,ALA115,708.201,-12.3,"Primary, single pit grave",
